timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_1_loss,path_2_loss,total_loss
77,130.0761537926966,path_1,13.0,path_1,13.04,path_1,13.0,path_1,13.0,path_1,13.01,path_1,13.0,path_1,13.04,path_1,13.0,path_1,13.0,path_1,13.0,120.08,0,0.0,0.0,0.0
78,140.0761537926966,path_1,14.0,path_1,14.04,path_1,14.0,path_1,14.0,path_1,14.01,path_1,14.0,path_1,14.04,path_1,14.0,path_1,14.0,path_1,14.0,130.08,0,0.0,0.0,0.0
79,150.0761537926966,path_1,15.0,path_1,15.04,path_1,15.0,path_1,15.0,path_1,15.01,path_1,15.0,path_1,15.04,path_1,15.0,path_1,15.0,path_1,15.0,140.08,0,0.0,0.0,0.0
80,160.0761537926966,path_1,16.0,path_1,16.04,path_1,16.0,path_1,16.0,path_1,16.01,path_1,16.0,path_1,16.04,path_1,16.0,path_1,16.0,path_1,16.0,150.08,0,0.0,0.0,0.0
81,170.0761537926966,path_1,17.0,path_1,17.04,path_1,17.0,path_1,17.0,path_1,17.01,path_1,17.0,path_1,17.04,path_1,17.0,path_1,17.0,path_1,17.0,160.08,0,0.0,0.0,0.0
82,180.0761537926966,path_1,18.0,path_1,18.04,path_1,18.0,path_1,18.0,path_1,18.01,path_1,18.0,path_1,18.04,path_1,18.0,path_1,18.0,path_1,18.0,170.08,0,0.0,0.0,0.0
83,190.0761537926966,path_1,19.0,path_1,19.04,path_1,19.0,path_1,19.0,path_1,19.01,path_1,19.0,path_1,19.04,path_1,19.0,path_1,19.0,path_1,19.0,180.08,0,0.0,0.0,0.0
84,200.0761537926966,path_1,20.0,path_1,20.04,path_1,20.0,path_1,20.0,path_1,20.01,path_1,20.0,path_1,20.04,path_1,20.0,path_1,20.0,path_1,20.0,190.08,0,0.0,0.0,0.0
85,100.0380768963483,path_1,10.0,path_1,10.02,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.02,path_1,10.0,path_1,10.0,path_1,10.0,200.08,0,0.08,0.0,0.08
86,110.0380768963483,path_1,11.0,path_1,11.02,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.02,path_1,11.0,path_1,11.0,path_1,11.0,100.04,0,0.0,0.0,0.0
